Transaction Date,Customer ID,Contractor ID,Service Code,Shift Total
2/9/2018,331,34109,UN,11
1/29/2018,331,79672,UN,9.25
1/30/2018,331,79672,UN,9.25
1/31/2018,331,79672,UN,9
2/1/2018,331,79672,UN,10
2/2/2018,331,79672,UN,9
2/5/2018,331,79672,UN,9.5
2/6/2018,331,79672,UN,9.25
2/7/2018,331,79672,UN,10
2/8/2018,331,79672,UN,9
2/9/2018,331,79672,UN,10.25
1/29/2018,331,55497,UN,7
1/30/2018,331,30447,UN,7
1/31/2018,331,30447,UN,7
2/1/2018,331,30447,UN,7
2/2/2018,331,30447,UN,7
2/5/2018,331,30447,UN,7
2/6/2018,331,30447,UN,7
2/7/2018,331,30447,UN,7
2/8/2018,331,30447,UN,7
2/9/2018,331,30447,UN,7
1/29/2018,332,11335,UN,9
1/30/2018,332,11335,UN,9
1/31/2018,332,11335,UN,9
2/1/2018,332,11335,UN,9
2/2/2018,332,11335,UN,9
2/5/2018,332,11335,UN,9
2/6/2018,332,11335,UN,9
2/7/2018,332,11335,UN,9
2/8/2018,332,11335,UN,9
2/9/2018,332,11335,UN,9
2/10/2018,332,11335,UN,9
1/29/2018,332,17530,UN,9.5
1/29/2018,332,24516,UN,12
1/29/2018,332,30182,UN,12
1/29/2018,332,63139,UN,10
1/30/2018,332,17530,UN,9.5
1/30/2018,332,24516,UN,12
1/30/2018,332,30182,UN,12
1/30/2018,332,63139,UN,10.5
1/31/2018,332,17530,UN,9.5
1/31/2018,332,24516,UN,12
1/31/2018,332,30182,UN,12
1/31/2018,332,63139,UN,10
2/1/2018,332,17530,UN,9.5
2/1/2018,332,24516,UN,12
